"","name","age","mw","league","year","points","ranking","logmw"
"654","M'gladbach",24.4,4.81,"1. Bundesliga",2016,55,4,1.57069708411767
"655","Hoffenheim",23.8,3.59,"1. Bundesliga",2016,37,15,1.27815220250019
"656","Ein Frankfurt",23.9,2.5,"1. Bundesliga",2016,36,16,0.916290731874155
"657","Stuttgart",23.8,2.43,"1. Bundesliga",2016,33,17,0.887891257352457
"658","Hamburg",24.8,2.12,"1. Bundesliga",2016,41,10,0.751416088683921
"659","Hannover",23.5,1.89,"1. Bundesliga",2016,25,18,0.636576829071551
"660","Hertha",24.3,2.14,"1. Bundesliga",2016,50,7,0.76080582903376
"661","Mainz",24.3,1.73,"1. Bundesliga",2016,50,6,0.548121408509688
"662","Augsburg",24.9,1.6,"1. Bundesliga",2016,38,12,0.470003629245736
"663","Werder Bremen",23.6,1.53,"1. Bundesliga",2016,38,14,0.425267735404344
"664","FC Koln",24,2.08,"1. Bundesliga",2016,43,9,0.732367893713227
"665","Ingolstadt",24.2,0.841,"1. Bundesliga",2016,40,11,-0.173163619009189
"666","Darmstadt",26.3,0.66,"1. Bundesliga",2016,38,13,-0.415515443961666
"667","Paris SG",23.9,12.38,"Ligue 1",2016,96,1,2.51608226725645
"668","Lyon",24,5.2,"Ligue 1",2016,65,2,1.64865862558738
"669","Monaco",22.3,3.92,"Ligue 1",2016,65,3,1.36609165380237
"670","Marseille",22.9,3.79,"Ligue 1",2016,48,13,1.33236601909433
"671","St Etienne",24.1,2.39,"Ligue 1",2016,58,6,0.871293365943419
"672","Bordeaux",22.5,1.92,"Ligue 1",2016,50,10,0.65232518603969
"673","Rennes",23.7,2.08,"Ligue 1",2016,52,8,0.732367893713227
"674","Lille",24.6,1.93,"Ligue 1",2016,60,5,0.657520002916794
"675","Nice",22.4,1.42,"Ligue 1",2016,63,4,0.350656871613169
"676","Lorient",23.7,1.41,"Ligue 1",2016,46,15,0.343589704390077
"677","Montpellier",24.9,1.46,"Ligue 1",2016,49,12,0.378436435720245
"678","Reims",24.8,1.3,"Ligue 1",2016,39,18,0.262364264467491
"679","Toulouse",23.1,1.28,"Ligue 1",2016,40,17,0.246860077931526
"680","Nantes",23.8,1.16,"Ligue 1",2016,48,14,0.148420005118273
"681","Guingamp",25.9,1.01,"Ligue 1",2016,44,16,0.00995033085316809
"682","Caen",24.6,0.942,"Ligue 1",2016,54,7,-0.059750004405774
"683","Troyes",25.3,0.728,"Ligue 1",2016,18,20,-0.317454230785451
"684","Bastia",24.8,0.673,"Ligue 1",2016,50,9,-0.396009949337409
"685","Angers",26.3,0.606,"Ligue 1",2016,50,11,-0.500875292912823
"686","Ajaccio GFCO",24.8,0.463,"Ligue 1",2016,37,19,-0.770028224895903
"687","Man City",24.7,14.12,"Premier League",2017,78,3,2.6475922320651
"688","Chelsea",23.8,12.31,"Premier League",2017,93,1,2.51041194019636
"689","Man United",23.5,12.7,"Premier League",2017,69,6,2.54160199346455
"690","Arsenal",23.7,12.45,"Premier League",2017,75,5,2.52172062291072
"691","Liverpool",23.4,10.37,"Premier League",2017,76,4,2.33891702224144
"692","Tottenham",22.7,10.14,"Premier League",2017,86,2,2.31648799816304
"693","Everton",24.9,7.29,"Premier League",2017,61,7,1.98650354602057
"694","West Ham",23.7,5.47,"Premier League",2017,45,11,1.69927861643389
"695","Crystal Palace",25.1,4.79,"Premier League",2017,41,14,1.56653041142282
"696","Southampton",24.4,5.95,"Premier League",2017,46,8,1.78339121955754
"697","Stoke",26.1,5.68,"Premier League",2017,44,13,1.73695123273306
"698","Watford",25.8,4.12,"Premier League",2017,40,17,1.41585316336144
"699","Leicester",25.6,5.65,"Premier League",2017,44,12,1.73165554515835
"700","Swansea",25.9,3.71,"Premier League",2017,41,15,1.31103187661934
"701","Hull",25,3.17,"Premier League",2017,34,18,1.15373158788919
"702","Middlesbrough",26.3,3.48,"Premier League",2017,28,19,1.24703229378638
"703","West Brom",26.3,3.84,"Premier League",2017,45,10,1.34547236659964
"704","Sunderland",24.3,2.68,"Premier League",2017,24,20,0.985816794522765
"705","Bournemouth",23.4,2.52,"Premier League",2017,46,9,0.924258901523332
"706","Burnley",25.7,2.27,"Premier League",2017,40,16,0.819779831493311
"707","Barcelona",24.7,21.28,"LaLiga",2017,90,2,3.05776766447344
"708","Real Madrid",24.2,22.52,"LaLiga",2017,93,1,3.11440380327149
"709","Ath Madrid",23.3,9.72,"LaLiga",2017,78,3,2.27418561847235
"710","Valencia",24,7.16,"LaLiga",2017,46,12,1.96850998097255
"711","Sevilla",24.4,5.91,"LaLiga",2017,72,4,1.77664583141801
"712","Villarreal",24.3,4.07,"LaLiga",2017,67,5,1.4036429994545
"713","Ath Bilbao",25.1,4.33,"LaLiga",2017,63,7,1.4655675420144
"714","Sociedad",24.5,3.25,"LaLiga",2017,64,6,1.17865499634165
"715","Celta",24.5,2.98,"LaLiga",2017,45,13,1.09192330051731
"716","La Coruna",25.8,2.51,"LaLiga",2017,36,16,0.920282753143692
"717","Granada",24.1,1.99,"LaLiga",2017,20,20,0.688134638736401
"718","Espanol",25.8,2.42,"LaLiga",2017,56,8,0.883767540168595
"719","Betis",25.4,2.48,"LaLiga",2017,39,14,0.908258560176891
"720","Malaga",25,2.31,"LaLiga",2017,46,11,0.837247524533702
"721","Las Palmas",25.7,1.69,"LaLiga",2017,39,15,0.524728528934982
"722","Eibar",24.3,1.37,"LaLiga",2017,54,10,0.314810739840034
"723","Sp Gijon",24.7,1.53,"LaLiga",2017,31,18,0.425267735404344
"724","Leganes",25.1,1.28,"LaLiga",2017,35,17,0.246860077931526
"725","Alaves",24.4,1.33,"LaLiga",2017,55,9,0.285178942233662
"726","Osasuna",24.5,0.997,"LaLiga",2017,22,19,-0.00300450902029872
"727","Juventus",25.2,11.11,"Serie A",2017,91,1,2.40784560365154
"728","Inter",24.4,7.78,"Serie A",2017,62,7,2.0515563381903
"729","Napoli",24.7,8.21,"Serie A",2017,86,3,2.10535292346434
"730","Roma",22.7,6.07,"Serie A",2017,87,2,1.80335860507141
"731","Milan",24.4,5.73,"Serie A",2017,63,6,1.74571553072665
"732","Fiorentina",23.3,4.58,"Serie A",2017,60,8,1.52169899812609
"733","Lazio",22.8,3.81,"Serie A",2017,70,5,1.33762918913861
"734","Torino",23.2,2.72,"Serie A",2017,53,9,1.00063188030791
"735","Genoa",24.8,2.45,"Serie A",2017,36,16,0.896088024556636
"736","Udinese",23.5,2.39,"Serie A",2017,45,13,0.871293365943419
"737","Sassuolo",23.6,1.98,"Serie A",2017,46,12,0.683096844706444
"738","Sampdoria",23.6,2.14,"Serie A",2017,48,10,0.76080582903376
"739","Bologna",23.6,1.85,"Serie A",2017,41,15,0.615185639090233
"740","Atalanta",24.5,1.82,"Serie A",2017,72,4,0.598836501088704
"741","Cagliari",23.7,1.37,"Serie A",2017,47,11,0.314810739840034
"742","Empoli",23.5,1.39,"Serie A",2017,32,18,0.3293037471426
"743","Chievo",25.3,1.04,"Serie A",2017,43,14,0.0392207131532813
"744","Pescara",23.8,0.889,"Serie A",2017,18,20,-0.117658043468232
"745","Palermo",23.4,1.1,"Serie A",2017,26,19,0.0953101798043249
"746","Crotone",24,0.673,"Serie A",2017,34,17,-0.396009949337409
"747","Bayern Munich",25.1,18.04,"1. Bundesliga",2017,82,1,2.89259151463448
"748","Dortmund",24.2,10.36,"1. Bundesliga",2017,64,3,2.33795223683134
"749","Leverkusen",22.8,6.27,"1. Bundesliga",2017,41,12,1.83577635464483
"750","Schalke 04",23.7,6.12,"1. Bundesliga",2017,43,10,1.81156209652423
"751","Wolfsburg",23.5,5.24,"1. Bundesliga",2017,37,15,1.65632149833295
"752","M'gladbach",23.4,4.72,"1. Bundesliga",2017,45,8,1.55180879959746
"753","Hamburg",23.6,2.5,"1. Bundesliga",2017,38,14,0.916290731874155
"754","Mainz",23.3,2.2,"1. Bundesliga",2017,37,16,0.78845736036427
"755","FC Koln",24.4,2.58,"1. Bundesliga",2017,49,5,0.947789398933526
"756","Hoffenheim",23.5,2.32,"1. Bundesliga",2017,62,4,0.841567185678219
"757","Hertha",24,2.3,"1. Bundesliga",2017,49,6,0.832909122935104
"758","Werder Bremen",24.5,1.83,"1. Bundesliga",2017,45,9,0.60431596685333
"759","RB Leipzig",22.6,2.1,"1. Bundesliga",2017,67,2,0.741937344729377
"760","Augsburg",25.3,1.86,"1. Bundesliga",2017,38,13,0.62057648772511
"761","Ein Frankfurt",23.1,1.89,"1. Bundesliga",2017,42,11,0.636576829071551
"762","Freiburg",24,1.12,"1. Bundesliga",2017,48,7,0.113328685307003
"763","Ingolstadt",23.8,1.15,"1. Bundesliga",2017,32,17,0.139761942375159
"764","Darmstadt",25.7,0.842,"1. Bundesliga",2017,25,18,-0.17197526473981
"765","Paris SG",23.5,12.87,"Ligue 1",2017,87,2,2.55489902160804
"766","Monaco",22.2,4.05,"Ligue 1",2017,95,1,1.39871688111845
"767","Lyon",22.6,5.27,"Ligue 1",2017,67,4,1.66203036255327
"768","Marseille",24.7,3.32,"Ligue 1",2017,62,5,1.1999647829284
"769","St Etienne",23,2.03,"Ligue 1",2017,50,10,0.708035793053696
"770","Bordeaux",23.6,2.24,"Ligue 1",2017,59,6,0.806475865866949
"771","Lille",23.7,1.62,"Ligue 1",2017,46,12,0.482426149244293
"772","Rennes",24.1,1.71,"Ligue 1",2017,50,8,0.536493370514568
"773","Nice",22.5,1.69,"Ligue 1",2017,78,3,0.524728528934982
"774","Lorient",24.1,1.21,"Ligue 1",2017,36,18,0.19062035960865
"775","Toulouse",22.9,1.29,"Ligue 1",2017,44,13,0.254642218373581
"776","Nantes",23.4,1.35,"Ligue 1",2017,51,7,0.300104592450338
"777","Montpellier",24.6,1.03,"Ligue 1",2017,39,15,0.0295588022415444
"778","Bastia",24.1,0.947,"Ligue 1",2017,34,20,-0.0544561857960589
"779","Caen",25.1,0.956,"Ligue 1",2017,37,16,-0.0449973659307358
"780","Angers",25.3,0.951,"Ligue 1",2017,46,11,-0.0502412164367468
"781","Guingamp",25.3,0.949,"Ligue 1",2017,50,9,-0.0523464803722092
"782","Metz",23.5,0.684,"Ligue 1",2017,43,14,-0.379797361359587
"783","Dijon",25.3,0.636,"Ligue 1",2017,37,17,-0.452556715642015
"784","Nancy",25.2,0.697,"Ligue 1",2017,35,19,-0.360969868221613
"785","Chelsea",23.7,14.12,"Premier League",2018,70,5,2.6475922320651
"786","Man United",25.1,18.43,"Premier League",2018,81,2,2.91397977168173
"787","Arsenal",23.8,14.09,"Premier League",2018,63,6,2.64546532591059
"788","Man City",24.1,19.26,"Premier League",2018,100,1,2.95803040636998
"789","Tottenham",23.8,15.75,"Premier League",2018,77,3,2.75684036527164
"790","Liverpool",24,14.14,"Premier League",2018,75,4,2.64900766046843
"791","Everton",23.9,7.22,"Premier League",2018,49,8,1.97685495290473
"792","West Ham",24.3,6.46,"Premier League",2018,42,13,1.86562931779451
"793","Leicester",25.5,7.41,"Premier League",2018,47,9,2.002830439308
"794","Southampton",24.9,8.53,"Premier League",2018,36,17,2.14358936150359
"795","Crystal Palace",24.8,4.74,"Premier League",2018,44,10,1.55603713570699
"796","Stoke",25.2,5.08,"Premier League",2018,33,18,1.62531126159039
"797","Swansea",25.3,4.76,"Premier League",2018,33,19,1.56024766824333
"798","Watford",25.9,4.52,"Premier League",2018,41,14,1.50851199384414
"799","Newcastle",24.4,4.52,"Premier League",2018,44,11,1.50851199384414
"800","West Brom",25.5,5.02,"Premier League",2018,31,20,1.61342993370364
"801","Bournemouth",25,3.32,"Premier League",2018,44,12,1.1999647829284
"802","Brighton",25.8,2.74,"Premier League",2018,40,15,1.00795792039998
"803","Burnley",26.8,3.23,"Premier League",2018,54,7,1.17248213723457
"804","Huddersfield",24.6,1.84,"Premier League",2018,37,16,0.609765571620894
"805","Barcelona",25.2,23.41,"LaLiga",2018,93,1,3.15316328150282
"806","Real Madrid",23.5,22.38,"LaLiga",2018,76,3,3.10816770288378
"807","Ath Madrid",24.4,16.25,"LaLiga",2018,79,2,2.78809290877575
"808","Sevilla",25.5,8.17,"LaLiga",2018,58,7,2.10046890887191
"809","Valencia",23.3,7.7,"LaLiga",2018,73,4,2.04122032885964
"810","Villarreal",24.4,4.92,"LaLiga",2018,61,5,1.59330853050422
"811","Ath Bilbao",25,5.71,"LaLiga",2018,43,17,1.74221902366792
"812","Sociedad",25.2,5.5,"LaLiga",2018,49,12,1.70474809223843
"813","Las Palmas",25.9,3.24,"LaLiga",2018,22,19,1.17557332980424
"814","Celta",23.5,3.58,"LaLiga",2018,49,11,1.27536280041261
"815","Betis",24.9,3.11,"LaLiga",2018,60,6,1.13462272619114
"816","La Coruna",25.8,2.48,"LaLiga",2018,29,18,0.908258560176891
"817","Malaga",24.8,2.21,"LaLiga",2018,20,20,0.792992515529661
"818","Espanol",26.4,2.95,"LaLiga",2018,49,13,1.08180517035173
"819","Eibar",25.9,2.17,"LaLiga",2018,51,10,0.774727167552368
"820","Alaves",24.1,1.97,"LaLiga",2018,47,14,0.678033542749897
"821","Levante",24.1,1.62,"LaLiga",2018,46,15,0.482426149244293
"822","Leganes",25.9,1.58,"LaLiga",2018,43,16,0.457424847038875
"823","Getafe",25.6,1.35,"LaLiga",2018,55,8,0.300104592450338
"824","Girona",24.4,1.19,"LaLiga",2018,51,9,0.173953307123438
"825","Juventus",25.6,16.38,"Serie A",2018,95,1,2.79606107842492
"826","Napoli",24.2,9.32,"Serie A",2018,91,2,2.2321626286975
"827","Milan",23.5,8.39,"Serie A",2018,64,6,2.12704052047911
"828","Inter",24.9,10.22,"Serie A",2018,72,4,2.32434658477556
"829","Roma",22.7,6.98,"Serie A",2018,77,3,1.94304891677428
"830","Lazio",23.8,5.02,"Serie A",2018,72,5,1.61342993370364
"831","Fiorentina",23,4.1,"Serie A",2018,57,8,1.41098697371026
"832","Torino",22.8,2.86,"Serie A",2018,54,10,1.05082162483176
"833","Atalanta",22.6,3.41,"Serie A",2018,60,7,1.22671229129543
"834","Sassuolo",24,3.13,"Serie A",2018,43,11,1.14103300455206
"835","Sampdoria",23.6,2.92,"Serie A",2018,54,9,1.07158361628019
"836","Genoa",25.1,2.58,"Serie A",2018,41,12,0.947789398933526
"837","Udinese",23,1.9,"Serie A",2018,40,13,0.641853886172395
"838","Bologna",24.4,2.02,"Serie A",2018,39,15,0.703097511413113
"839","Cagliari",24.4,1.79,"Serie A",2018,39,16,0.582215619852664
"840","Benevento",24.1,1.29,"Serie A",2018,21,20,0.254642218373581
"841","Chievo",26.4,1.41,"Serie A",2018,40,14,0.343589704390077
"842","Spal",24.4,1.2,"Serie A",2018,38,17,0.182321556793955
"843","Verona",24.5,1.13,"Serie A",2018,25,19,0.122217632724249
"844","Crotone",23.1,0.925,"Serie A",2018,35,18,-0.0779615414697118
"845","Bayern Munich",23.7,16.06,"1. Bundesliga",2018,84,1,2.77633170851862
"846","Dortmund",24,12.84,"1. Bundesliga",2018,55,4,2.55256529826182
"847","Leverkusen",24.3,8.35,"1. Bundesliga",2018,55,5,2.12226153886276
"848","Schalke 04",24.6,7.08,"1. Bundesliga",2018,63,2,1.95727390770563
"849","RB Leipzig",23.1,7.18,"1. Bundesliga",2018,53,6,1.97129938306013
"850","Wolfsburg",23.3,4.57,"1. Bundesliga",2018,33,16,1.51951320490611
"851","M'gladbach",23.6,4.29,"1. Bundesliga",2018,47,9,1.45628673293993
"852","Hoffenheim",23.1,3.43,"1. Bundesliga",2018,55,3,1.23256026117785
"853","FC Koln",23.5,3.18,"1. Bundesliga",2018,22,18,1.15688119679209
"854","Hertha",23.9,2.81,"1. Bundesliga",2018,43,10,1.03318448334565
"855","Ein Frankfurt",24,2.29,"1. Bundesliga",2018,49,8,0.828551817566148
"856","Werder Bremen",24.6,2.38,"1. Bundesliga",2018,42,11,0.867100487683383
"857","Mainz",24.4,2.32,"1. Bundesliga",2018,36,14,0.841567185678219
"858","Stuttgart",23.8,2.17,"1. Bundesliga",2018,51,7,0.774727167552368
"859","Freiburg",24.5,2.02,"1. Bundesliga",2018,36,15,0.703097511413113
"860","Hamburg",23.5,2.06,"1. Bundesliga",2018,31,17,0.72270598280149
"861","Augsburg",24.6,1.65,"1. Bundesliga",2018,41,12,0.500775287912489
"862","Hannover",24.9,1.63,"1. Bundesliga",2018,39,13,0.488580014818671
"863","Paris SG",24.1,16.6,"Ligue 1",2018,93,1,2.8094026953625
"864","Monaco",22.5,7.68,"Ligue 1",2018,80,2,2.03861954715958
"865","Marseille",25.8,5.59,"Ligue 1",2018,77,4,1.72097928716701
"866","Nice",22.7,3.48,"Ligue 1",2018,54,8,1.24703229378638
"867","Lyon",22.1,3.86,"Ligue 1",2018,78,3,1.35066718347674
"868","St Etienne",23.8,2.57,"Ligue 1",2018,55,6,0.943905898907128
"869","Bordeaux",23.1,2.63,"Ligue 1",2018,55,7,0.966983846189673
"870","Toulouse",23.6,2.83,"Ligue 1",2018,37,18,1.04027671165515
"871","Rennes",23.4,1.6,"Ligue 1",2018,58,5,0.470003629245736
"872","Nantes",23.7,1.45,"Ligue 1",2018,52,9,0.371563556432483
"873","Guingamp",25.7,1.51,"Ligue 1",2018,47,12,0.412109650826833
"874","Angers",25.1,1.34,"Ligue 1",2018,41,14,0.29266961396282
"875","Lille",21.1,1.36,"Ligue 1",2018,38,15,0.307484699747961
"876","Metz",23.7,0.978,"Ligue 1",2018,26,20,-0.0222456089473197
"877","Caen",24.8,1.15,"Ligue 1",2018,38,16,0.139761942375159
"878","Montpellier",24.5,1.22,"Ligue 1",2018,51,10,0.198850858745165
"879","Dijon",24.6,1.02,"Ligue 1",2018,48,11,0.0198026272961797
"880","Amiens",26.4,0.806,"Ligue 1",2018,45,13,-0.215671536475509
"881","Troyes",25,0.857,"Ligue 1",2018,33,19,-0.154317360384357
"882","Strasbourg",25.4,0.663,"Ligue 1",2018,38,17,-0.410980288796275
"883","Man City",23.3,22.92,"Premier League",2019,98,1,3.13200989184654
"884","Chelsea",24.6,19.38,"Premier League",2019,72,3,2.96424160646262
"885","Liverpool",23.8,23.08,"Premier League",2019,97,2,3.1389664416399
"886","Man United",24.4,23.14,"Premier League",2019,66,6,3.14156272176553
"887","Tottenham",24.5,24.11,"Premier League",2019,71,4,3.18262669219308
"888","Arsenal",23.9,14.13,"Premier League",2019,70,5,2.64830019669644
"889","Everton",25,10.74,"Premier League",2019,54,8,2.37397508908072
"890","Leicester",25.4,8.66,"Premier League",2019,52,9,2.15871472257434
"891","West Ham",25.7,8.37,"Premier League",2019,52,10,2.12465388450138
"892","Southampton",23.9,6.76,"Premier League",2019,39,16,1.91102289005487
"893","Crystal Palace",25.4,7.29,"Premier League",2019,49,12,1.98650354602057
"894","Fulham",24.7,7.26,"Premier League",2019,26,19,1.9823798288367
"895","Newcastle",25,5.41,"Premier League",2019,45,14,1.68824909285839
"896","Burnley",27.1,5.63,"Premier League",2019,40,15,1.7281094421516
"897","Bournemouth",24.7,4.67,"Premier League",2019,45,13,1.54115907168081
"898","Brighton",24.8,4.21,"Premier League",2019,36,17,1.43746264769429
"899","Watford",25.2,4.37,"Premier League",2019,50,11,1.4747630091075
"900","Wolves",23.1,4.01,"Premier League",2019,57,7,1.38879124131848
"901","Huddersfield",24.3,3.43,"Premier League",2019,16,20,1.23256026117785
"902","Cardiff",26.3,2.17,"Premier League",2019,34,18,0.774727167552368
"903","Barcelona",23.7,26.42,"LaLiga",2019,87,1,3.27412129909418
"904","Real Madrid",23.6,25.84,"LaLiga",2019,68,3,3.2519236789144
"905","Ath Madrid",23.2,20.77,"LaLiga",2019,76,2,3.03350963788802
"906","Valencia",24,12.3,"LaLiga",2019,61,4,2.50959926237837
"907","Sevilla",25,6.88,"LaLiga",2019,59,6,1.92861865194525
"908","Villarreal",25.8,5.7,"LaLiga",2019,44,14,1.7404661748405
"909","Ath Bilbao",25.9,6.14,"LaLiga",2019,53,7,1.81482474215905
"910","Sociedad",23.2,5.95,"LaLiga",2019,50,11,1.78339121955754
"911","Celta",24.4,5.51,"LaLiga",2019,41,16,1.70656462316482
"912","Betis",24.4,4.75,"LaLiga",2019,50,9,1.55814461804655
"913","Leganes",25,2.43,"LaLiga",2019,45,13,0.887891257352457
"914","Espanol",25.7,2.57,"LaLiga",2019,53,8,0.943905898907128
"915","Girona",24.9,2.43,"LaLiga",2019,37,18,0.887891257352457
"916","Levante",24.9,2.27,"LaLiga",2019,44,15,0.819779831493311
"917","Alaves",24.4,1.97,"LaLiga",2019,50,10,0.678033542749897
"918","Getafe",25.7,2.11,"LaLiga",2019,59,5,0.746687947487975
"919","Vallecano",25.2,1.63,"LaLiga",2019,32,20,0.488580014818671
"920","Eibar",26.4,1.68,"LaLiga",2019,47,12,0.518793793415168
"921","Huesca",25.7,0.976,"LaLiga",2019,33,19,-0.0242926925690446
"922","Valladolid",24.1,0.911,"LaLiga",2019,41,17,-0.0932123817221787
"923","Juventus",24,14.81,"Serie A",2019,90,1,2.69530262827971
"924","Inter",23,9.76,"Serie A",2019,69,4,2.278292400425
"925","Milan",23.5,11.69,"Serie A",2019,68,5,2.45873377548398
"926","Napoli",23.3,9.64,"Serie A",2019,79,2,2.26592110862245
"927","Roma",22.8,7.63,"Serie A",2019,66,6,2.03208784529637
"928","Lazio",23.4,6.09,"Serie A",2019,59,8,1.80664808172181
"929","Atalanta",21.7,2.87,"Serie A",2019,69,3,1.05431202977153
"930","Fiorentina",22,4.41,"Serie A",2019,41,16,1.48387468945875
"931","Torino",22.8,3.17,"Serie A",2019,63,7,1.15373158788919
"932","Sampdoria",22.5,2.89,"Serie A",2019,53,9,1.06125650212434
"933","Sassuolo",22.8,2.77,"Serie A",2019,43,11,1.01884732019925
"934","Udinese",23.7,2.84,"Serie A",2019,43,12,1.04380405217311
"935","Cagliari",24.9,2.51,"Serie A",2019,41,15,0.920282753143692
"936","Genoa",22.8,1.56,"Serie A",2019,38,18,0.444685821261446
"937","Bologna",24,2.1,"Serie A",2019,44,10,0.741937344729377
"938","Spal",24.3,1.44,"Serie A",2019,42,13,0.364643113587909
"939","Parma",24.6,0.925,"Serie A",2019,41,14,-0.0779615414697118
"940","Chievo",23.7,0.903,"Serie A",2019,20,20,-0.102032725565152
"941","Frosinone",24.8,1.37,"Serie A",2019,25,19,0.314810739840034
"942","Empoli",23.1,0.988,"Serie A",2019,38,17,-0.0120725812342692
"943","Bayern Munich",24.7,26.11,"1. Bundesliga",2019,78,1,3.26231838271104
"944","Dortmund",23.4,11.08,"1. Bundesliga",2019,76,2,2.40514168131914
"945","Leverkusen",23.6,11.59,"1. Bundesliga",2019,58,4,2.45014265735166
"946","RB Leipzig",21.6,9.25,"1. Bundesliga",2019,66,3,2.22462355152433
"947","Schalke 04",24.1,6.25,"1. Bundesliga",2019,33,14,1.83258146374831
"948","M'gladbach",24.2,6.38,"1. Bundesliga",2019,55,5,1.8531680973567
"949","Hoffenheim",23.5,4.96,"1. Bundesliga",2019,51,9,1.60140574073684
"950","Stuttgart",23.9,4.69,"1. Bundesliga",2019,28,16,1.54543258245819
"951","Wolfsburg",24.1,4.04,"1. Bundesliga",2019,55,6,1.39624469197306
"952","Ein Frankfurt",23.8,2.97,"1. Bundesliga",2019,54,7,1.08856195281461
"953","Hertha",23.5,3.46,"1. Bundesliga",2019,43,11,1.24126858906963
"954","Werder Bremen",24.8,3.36,"1. Bundesliga",2019,53,8,1.21194097397511
"955","Augsburg",23.9,2.52,"1. Bundesliga",2019,32,15,0.924258901523332
"956","Hannover",24.7,2.66,"1. Bundesliga",2019,21,17,0.978326122793608
"957","Freiburg",24,2.77,"1. Bundesliga",2019,36,13,1.01884732019925
"958","Mainz",23.8,2.47,"1. Bundesliga",2019,43,12,0.904218150639886
"959","Fortuna Dusseldorf",25.3,1.39,"1. Bundesliga",2019,44,10,0.3293037471426
"960","Nurnberg",24.2,1.48,"1. Bundesliga",2019,19,18,0.392042087776024
"961","Paris SG",23.9,21.6,"Ligue 1",2019,91,1,3.07269331469012
"962","Monaco",22.4,6.76,"Ligue 1",2019,36,17,1.91102289005487
"963","Lyon",22.7,10.51,"Ligue 1",2019,72,3,2.35232718488886
"964","Marseille",25.1,8.38,"Ligue 1",2019,61,5,2.12584791449399
"965","Rennes",22.8,3.19,"Ligue 1",2019,52,10,1.16002091679675
"966","Nice",21.8,3.41,"Ligue 1",2019,56,7,1.22671229129543
"967","Bordeaux",22.9,2.62,"Ligue 1",2019,41,14,0.963174317773006
"968","Nantes",23.8,2.7,"Ligue 1",2019,48,12,0.993251773010283
"969","Lille",22.7,3.04,"Ligue 1",2019,75,2,1.11185751541813
"970","St Etienne",23.3,2.3,"Ligue 1",2019,66,4,0.832909122935104
"971","Toulouse",23.1,2.05,"Ligue 1",2019,38,16,0.717839793150317
"972","Guingamp",24.2,1.84,"Ligue 1",2019,27,20,0.609765571620894
"973","Montpellier",24.7,1.88,"Ligue 1",2019,59,6,0.631271776841858
"974","Strasbourg",24.2,1.75,"Ligue 1",2019,49,11,0.559615787935423
"975","Angers",25.5,1.51,"Ligue 1",2019,46,13,0.412109650826833
"976","Caen",23.8,1.47,"Ligue 1",2019,33,19,0.385262400790645
"977","Dijon",24.7,1.72,"Ligue 1",2019,34,18,0.542324290825362
"978","Amiens",24.4,1.52,"Ligue 1",2019,38,15,0.418710334858185
"979","Reims",23.5,1.36,"Ligue 1",2019,55,8,0.307484699747961
"980","Nimes",24,1.24,"Ligue 1",2019,53,9,0.215111379616945
